county,county_id,registered_voters,turnout_in_person,turnout_mail,turnout_total,roster_in_person,roster_mail,roster_total,gap_in_person,gap_mail,gap_total,gap_pct
FRANKLIN,80,7706,690,48,738,687,3,690,3,45,48,0.06504065040650407
FREESTONE,81,13410,893,46,939,893,13,906,0,33,33,0.03514376996805112
FRIO,82,9616,107,0,107,71,0,71,36,0,36,0.3364485981308411
GAINES,83,10683,437,0,437,437,0,437,0,0,0,0.0
GALVESTON,84,246685,13632,768,14400,13632,325,13957,0,443,443,0.03076388888888889
GARZA,85,2528,145,22,167,145,2,147,0,20,20,0.11976047904191617
GILLESPIE,86,22041,2467,195,2662,2467,16,2483,0,179,179,0.06724267468069121
GLASSCOCK,87,843,87,9,96,87,0,87,0,9,9,0.09375
GOLIAD,88,5697,906,45,951,906,11,917,0,34,34,0.035751840168243953
GONZALES,89,13234,870,68,938,870,13,883,0,55,55,0.05863539445628998
GRAY,90,12162,710,137,847,710,31,741,0,106,106,0.12514757969303425
GRAYSON,91,100098,5653,357,6010,5538,40,5578,115,317,432,0.0718801996672213
GREGG,92,73799,3918,492,4410,3906,81,3987,12,411,423,0.09591836734693877
GRIMES,93,21666,1562,104,1666,1516,43,1559,46,61,107,0.06422569027611044
GUADALUPE,94,129704,6774,384,7158,6774,188,6962,0,196,196,0.02738195026543727
HALE,95,18133,791,63,854,791,7,798,0,56,56,0.06557377049180328
HALL,96,1838,44,13,57,44,3,47,0,10,10,0.17543859649122806
HAMILTON,97,6213,480,33,513,480,2,482,0,31,31,0.06042884990253411
HANSFORD,98,2960,96,0,96,66,0,66,30,0,30,0.3125
HARDEMAN,99,2214,1,0,1,1,0,1,0,0,0,0.0
HARDIN,100,43610,1448,5,1453,1431,3,1434,17,2,19,0.01307639366827254
HARRIS,101,2714171,69705,6979,76684,64988,1140,66128,4717,5839,10556,0.1376558343331073
HARRISON,102,47260,2764,149,2913,2764,30,2794,0,119,119,0.040851355990387916
HARTLEY,103,2786,158,23,181,158,6,164,0,17,17,0.09392265193370165
HASKELL,104,3400,102,22,124,102,8,110,0,14,14,0.11290322580645161
HAYS,105,194931,7948,448,8396,7940,93,8033,8,355,363,0.043234873749404476
HEMPHILL,106,2273,161,28,189,161,0,161,0,28,28,0.14814814814814814
HENDERSON,107,60384,3801,1,3802,3785,1,3786,16,0,16,0.004208311415044713
HIDALGO,108,455601,5363,408,5771,5363,38,5401,0,370,370,0.06411367180731242
HILL,109,27539,1224,102,1326,1224,14,1238,0,88,88,0.06636500754147813
HOCKLEY,110,14140,794,8,802,794,4,798,0,4,4,0.004987531172069825
HOOD,111,52985,3960,472,4432,3960,95,4055,0,377,377,0.08506317689530686
HOPKINS,112,25476,1307,25,1332,1307,25,1332,0,0,0,0.0
HOUSTON,113,13774,773,87,860,773,87,860,0,0,0,0.0
HOWARD,114,16696,784,11,795,784,0,784,0,11,11,0.013836477987421384
HUDSPETH,115,2131,33,1,34,33,1,34,0,0,0,0.0
HUNT,116,74932,3443,297,3740,3443,29,3472,0,268,268,0.07165775401069518
HUTCHINSON,117,13241,729,95,824,729,94,823,0,1,1,0.0012135922330097086
IRION,118,1203,89,9,98,89,0,89,0,9,9,0.09183673469387756
JACK,119,5813,429,50,479,429,6,435,0,44,44,0.0918580375782881
JACKSON,120,9957,468,0,468,468,0,468,0,0,0,0.0
JASPER,121,24482,801,86,887,801,86,887,0,0,0,0.0
JEFF DAVIS,122,1554,175,5,180,175,5,180,0,0,0,0.0
JEFFERSON,123,146779,4173,413,4586,4173,413,4586,0,0,0,0.0
JIM HOGG,124,3409,6,1,7,6,1,7,0,0,0,0.0
JIM WELLS,125,25969,433,0,433,433,0,433,0,0,0,0.0
JOHNSON,126,133150,6058,523,6581,6058,512,6570,0,11,11,0.001671478498708403
JONES,127,11009,486,85,571,486,11,497,0,74,74,0.1295971978984238
KARNES,128,8221,336,77,413,336,28,364,0,49,49,0.11864406779661017
KAUFMAN,129,114860,4384,329,4713,4384,0,4384,0,329,329,0.06980691703798006
KENDALL,130,40083,5120,337,5457,5120,107,5227,0,230,230,0.04214770020157596
KENEDY,131,268,3,0,3,3,0,3,0,0,0,0.0
KENT,132,565,4,0,4,4,0,4,0,0,0,0.0
KERR,133,39354,4679,396,5075,4679,111,4790,0,285,285,0.0561576354679803
KIMBLE,134,3314,200,23,223,200,10,210,0,13,13,0.05829596412556054
KING,135,179,16,0,16,16,0,16,0,0,0,0.0
KINNEY,136,2199,181,4,185,125,4,129,56,0,56,0.3027027027027027
KLEBERG,137,17846,487,23,510,487,8,495,0,15,15,0.029411764705882353
KNOX,138,2247,52,10,62,52,3,55,0,7,7,0.11290322580645161
