election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-20,ROCKWALL,199,91415,1387,3675,306,true,civix
58315,2026-05-20,RUNNELS,200,6747,79,176,36,true,civix
58315,2026-05-20,RUSK,201,34312,348,937,0,true,civix
58315,2026-05-20,SABINE,202,8376,158,518,53,true,civix
58315,2026-05-20,SAN AUGUSTINE,203,5982,94,269,24,true,civix
58315,2026-05-20,SAN JACINTO,204,20879,291,918,108,true,civix
58315,2026-05-20,SAN PATRICIO,205,45208,137,303,89,true,civix
58315,2026-05-20,SAN SABA,206,3767,0,110,24,true,civix
58315,2026-05-20,SCHLEICHER,207,1768,41,86,10,true,civix
58315,2026-05-20,SCURRY,208,9225,118,389,38,true,civix
58315,2026-05-20,SHACKELFORD,209,2441,39,106,25,true,civix
58315,2026-05-20,SHELBY,210,16349,124,323,29,true,civix
58315,2026-05-20,SHERMAN,211,1346,13,50,0,true,civix
58315,2026-05-20,SMITH,212,157630,1894,5043,737,true,civix
58315,2026-05-20,SOMERVELL,213,7578,196,496,21,true,civix
58315,2026-05-20,STARR,214,36342,10,11,5,true,civix
58315,2026-05-20,STEPHENS,215,5846,93,234,40,true,civix
58315,2026-05-20,STERLING,216,882,5,17,4,true,civix
58315,2026-05-20,STONEWALL,217,949,13,32,3,true,civix
58315,2026-05-20,SUTTON,218,2295,48,116,2,true,civix
58315,2026-05-20,SWISHER,219,3860,28,82,30,true,civix
58315,2026-05-20,TARRANT,220,1278027,12672,31678,4133,true,civix
58315,2026-05-20,TAYLOR,221,86087,864,2292,309,true,civix
58315,2026-05-20,TERRELL,222,617,10,21,5,true,civix
58315,2026-05-20,TERRY,223,6277,74,284,32,true,civix
58315,2026-05-20,THROCKMORTON,224,1184,12,33,4,true,civix
58315,2026-05-20,TITUS,225,18086,244,590,50,true,civix
58315,2026-05-20,TOM GREEN,226,72725,749,1792,545,true,civix
58315,2026-05-20,TRAVIS,227,927654,4780,13599,1814,true,civix
58315,2026-05-20,TRINITY,228,12254,215,553,0,true,civix
58315,2026-05-20,TYLER,229,14866,180,503,54,true,civix
58315,2026-05-20,UPSHUR,230,30711,341,816,181,true,civix
58315,2026-05-20,UPTON,231,2101,36,96,2,true,civix
58315,2026-05-20,UVALDE,232,17673,285,856,41,true,civix
58315,2026-05-20,VAL VERDE,233,30640,99,311,10,true,civix
58315,2026-05-20,VAN ZANDT,234,42237,715,2043,103,true,civix
58315,2026-05-20,VICTORIA,235,57536,526,1231,523,true,civix
58315,2026-05-20,WALKER,236,39091,628,1694,116,true,civix
58315,2026-05-20,WALLER,237,44924,365,1143,71,true,civix
58315,2026-05-20,WARD,238,6990,35,101,13,true,civix
58315,2026-05-20,WASHINGTON,239,25795,993,1957,148,true,civix
58315,2026-05-20,WEBB,240,147647,273,799,29,true,civix
58315,2026-05-20,WHARTON,241,26549,383,643,0,true,civix
58315,2026-05-20,WHEELER,242,3323,38,109,26,true,civix
58315,2026-05-20,WICHITA,243,77898,738,2115,326,true,civix
58315,2026-05-20,WILBARGER,244,8199,51,148,72,true,civix
